Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CATEGORIA_ELECTRICO;DISTINTIVO;CLAS_INDUSTRIA;CATEG_HOMOLOGACION_UE
3819;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3809;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3834;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
8903;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;1000;M1
3906;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;Sin distintivo;400;L3e
3837;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
6944;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
4154;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SOSTENIBILIDAD Y CONTROL AMBIENTAL;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
6946;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
3820;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3801;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3807;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3838;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3822;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3823;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
6917;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
3805;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
8028;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;TURISMO;Propiedad;GASOLINA;HEV;ECO;1000;M1
3826;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
6907;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
3831;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3894;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;Sin distintivo;400;L3e
3811;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
4155;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4156;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4157;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
6947;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;C;400;L3E
4158;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
4159;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;ELÉCTRICO;BEV;CERO;1000;M1
3830;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3812;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3813;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3821;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3825;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3816;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
3802;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. SEGURIDAD Y EMERGENCIAS;OPERATIVO;MOTO;PROPIEDAD;ELÉCTRICO;BEV;CERO;400;L3e-A1
